訂單編號,客人序號,性別,建議房間,實際房間,鎖定,理由,匯出日期
BK-2027-0118,1,男,Room A,Room A,是,Room A 本身空置，呢張訂單啱啱好住滿佢，唔會剩低散床,2027-02-01
BK-2027-0118,2,男,Room A,Room A,是,同上,2027-02-01
BK-2027-0119,1,女,Room C,Room C,是,Room C 本身空置，安排後會住 1/3 位客,2027-02-01
BK-2027-0120,1,男,Room B,Room B,是,Room B 本身空置，安排後會住 3/4 位客,2027-02-02
BK-2027-0120,2,男,Room B,Room B,是,同上,2027-02-02
BK-2027-0120,3,男,Room B,Room B,是,同上,2027-02-02
BK-2027-0121,1,男,Room B,Room B,是,Room B 可男女同房，情侶可以唔使拆開,2027-02-04
BK-2027-0121,2,女,Room B,Room B,是,同上,2027-02-04
BK-2027-0122,1,女,Room C,Room C,是,Room C 已有 1 位女客，安排喺度唔使開新房,2027-02-05
BK-2027-0123,1,男,Room D,Room D,是,長住客集中放，避免把成季切碎,2027-02-05
BK-2027-0125,1,未定,Room D,Room D,否,性別未填，只安排到仲未鎖定性別嘅房,2027-02-06
